"locale","en_US","it_IT","ru_RU","pt_BR","zh_CN","pl_PL","fr_FR","es_ES","en_GB","de_DE"
"The public key is not the official one that is hardcoded in the program.","The public key is not the official one that is hardcoded in the program.","La chiave pubblica non è quella ufficiale codificata nel programma.","Открытый ключ не является официальным, который жестко прописан в программе.","A chave pública não é a oficial que está codificada no programa.","公钥不是程序中硬编码的官方公钥。","Klucz publiczny nie jest oficjalnym kluczem zakodowanym na stałe w programie.","La clé publique n'est pas celle officielle qui est codée en dur dans le programme.","La clave pública no es la oficial que está codificada en el programa.","The public key is not the official one that is hardcoded in the program.","Der öffentliche Schlüssel ist nicht der offizielle, der im Programm fest codiert ist."
"The file version is not newer than the latest known version file.","The file version is not newer than the latest known version file.","La versione del file non è più recente dell'ultimo file di versione conosciuto.","Версия файла не новее последнего известного файла версии.","A versão do arquivo não é mais recente que o último arquivo de versão conhecido.","文件版本不晚于最新的已知版本文件。","Wersja pliku nie jest nowsza niż najnowsza znana wersja pliku.","La version du fichier n'est pas plus récente que le dernier fichier de version connu.","La versión del archivo no es más reciente que el último archivo de versión conocido.","The file version is not newer than the latest known version file.","Die Dateiversion ist nicht neuer als die neueste bekannte Versionsdatei."
"The file does not contain a current platform.","The file does not contain a current platform.","Il file non contiene una piattaforma corrente.","Файл не содержит текущей платформы.","O arquivo não contém uma plataforma atual.","文件不包含当前平台。","Plik nie zawiera bieżącej platformy.","Le fichier ne contient pas de plateforme actuelle.","El archivo no contiene una plataforma actual.","The file does not contain a current platform.","Die Datei enthält keine aktuelle Plattform."
"Code:","Code:","Codice:","Код:","Código:","代码：","Kod:","Code :","Código:","Code:","Code:"
"BrokenWings (Season 1)","BrokenWings (Season 1)","BrokenWings (Stagione 1)","BrokenWings (Сезон 1)","BrokenWings (Temporada 1)","BrokenWings（第1赛季）","BrokenWings (Sezon 1)","BrokenWings (Saison 1)","BrokenWings (Temporada 1)","BrokenWings (Season 1)","BrokenWings (Staffel 1)"
"Repairing failed","Repairing failed","Riparazione non riuscita","Восстановление не удалось","Reparo falhou","修复失败","Naprawa nie powiodła się","La réparation a échoué","Falló la reparación","Repairing failed","Reparatur fehlgeschlagen"
"Updating game server package failed:","Updating game server package failed:","Aggiornamento del pacchetto del server di gioco non riuscito:","Не удалось обновить пакет игрового сервера:","Falha ao atualizar o pacote do servidor de jogo:","更新游戏服务器包失败：","Aktualizacja pakietu serwera gry nie powiodła się:","Échec de la mise à jour du paquet du serveur de jeu :","Falló la actualización del paquete del servidor de juego:","Updating game server package failed:","Aktualisierung des Spielserver-Pakets fehlgeschlagen:"
"Chronobreak (Season 1)","Chronobreak (Season 1)","Chronobreak (Stagione 1)","Chronobreak (Сезон 1)","Chronobreak (Temporada 1)","Chronobreak（第1赛季）","Chronobreak (Sezon 1)","Chronobreak (Saison 1)","Chronobreak (Temporada 1)","Chronobreak (Season 1)","Chronobreak (Staffel 1)"
"TestGrounds (Season 4)","TestGrounds (Season 4)","TestGrounds (Stagione 4)","TestGrounds (Сезон 4)","TestGrounds (Temporada 4)","TestGrounds（第4赛季）","TestGrounds (Sezon 4)","TestGrounds (Saison 4)","TestGrounds (Temporada 4)","TestGrounds (Season 4)","TestGrounds (Staffel 4)"
"LoLSrv (Pre Season 1)","LoLSrv (Pre Season 1)","LoLSrv (Pre Stagione 1)","LoLSrv (До Сезона 1)","LoLSrv (Pré-Temporada 1)","LoLSrv（第1赛季前）","LoLSrv (Przed Sezonem 1)","LoLSrv (Avant la saison 1)","LoLSrv (Antes de la temporada 1)","LoLSrv (Pre Season 1)","LoLSrv (Vor Staffel 1)"
"SDK installation is probably corrupted","SDK installation is probably corrupted","L'installazione dell'SDK è probabilmente danneggiata","Установка SDK, вероятно, повреждена","A instalação do SDK provavelmente está corrompida","SDK 安装可能已损坏","Instalacja SDK jest prawdopodobnie uszkodzona","L'installation du SDK est probablement corrompue","La instalación del SDK probablemente esté dañada","SDK installation is probably corrupted","SDK-Installation ist wahrscheinlich beschädigt"
"exit code is {exitCode}","exit code is {exitCode}","il codice di uscita è {exitCode}","код выхода равен {exitCode}","o código de saída é {exitCode}","退出代码为 {exitCode}","kod wyjścia to {exitCode}","le code de sortie est {exitCode}","el código de salida es {exitCode}","exit code is {exitCode}","Exit-Code ist {exitCode}"
"TestGrounds","TestGrounds","TestGrounds","TestGrounds","TestGrounds","TestGrounds","TestGrounds","TestGrounds","TestGrounds","TestGrounds","TestGrounds"
"Additional Locales For 1.0.0.126","Additional Locales For 1.0.0.126","Impostazioni locali aggiuntive per 1.0.0.126","Дополнительные языковые стандарты для 1.0.0.126","Localidades adicionais para 1.0.0.126","1.0.0.126 的额外区域设置","Dodatkowe ustawienia regionalne dla 1.0.0.126","Paramètres régionaux supplémentaires pour 1.0.0.126","Configuraciones regionales adicionales para 1.0.0.126","Additional Locales For 1.0.0.126","Zusätzliche Gebietsschemas für 1.0.0.126"
"Wine","Wine","Wine","Wine","Wine","Wine","Wine","Wine","Wine","Wine","Wine"
"The update failed, see the log for details.","The update failed, see the log for details.","L'aggiornamento non è riuscito, vedere il log per i dettagli.","Обновление не удалось, подробности см. в журнале.","A atualização falhou, veja o log para detalhes.","更新失败，请参阅日志了解详情。","Aktualizacja nie powiodła się, zobacz dziennik, aby uzyskać szczegóły.","La mise à jour a échoué, voir le journal pour plus de détails.","La actualización falló, consulte el registro para más detalles.","The update failed, see the log for details.","Das Update ist fehlgeschlagen, siehe Log für Details."
"Skin {i}","Skin {i}","Skin {i}","Скин {i}","Skin {i}","皮肤 {i}","Skórka {i}","Skin {i}","Aspecto {i}","Skin {i}","Skin {i}"
"First Blood","First Blood","Prima sangue","Первая кровь","Primeira morte","第一滴血","Pierwsza Krew","Premier sang","Primera sangre","First Blood","First Blood"
"Ascension","Ascension","Ascesa","Возвышение","Ascensão","飞升","Wniebowstąpienie","Ascension","Ascensión","Ascension","Aufstieg"
"BrokenWings","BrokenWings","BrokenWings","BrokenWings","BrokenWings","BrokenWings","BrokenWings","BrokenWings","BrokenWings","BrokenWings","BrokenWings"
"Chronobreak","Chronobreak","Chronobreak","Chronobreak","Chronobreak","Chronobreak","Chronobreak","Chronobreak","Chronobreak","Chronobreak","Chronobreak"
"Minor rework of character data.","Minor rework of character data.","Rielaborazione minore dei dati dei personaggi.","Незначительная переработка данных персонажей.","Pequena reformulação dos dados dos personagens.","角色数据的微小重做。","Drobna zmiana danych postaci.","Refonte mineure des données de personnage.","Retoque menor de los datos de personaje.","Minor rework of character data.","Kleine Überarbeitung der Charakterdaten."
"Enable online updates","Enable online updates","Abilita aggiornamenti online","Включить онлайн-обновления","Ativar atualizações online","启用在线更新","Włącz aktualizacje online","Activer les mises à jour en ligne","Activar actualizaciones en línea","Enable online updates","Online-Updates aktivieren"
"Search for players online","Search for players online","Cerca giocatori online","Поиск игроков онлайн","Procurar jogadores online","在线搜索玩家","Szukaj graczy online","Rechercher des joueurs en ligne","Buscar jugadores en línea","Search for players online","Nach Spielern online suchen"
"Enable Season 1 (Recommended)","Enable Season 1 (Recommended)","Abilita Stagione 1 (Consigliato)","Включить Сезон 1 (Рекомендуется)","Ativar Temporada 1 (Recomendado)","启用第1赛季（推荐）","Włącz Sezon 1 (Zalecane)","Activer la saison 1 (Recommandé)","Activar temporada 1 (Recomendado)","Enable Season 1 (Recommended)","Staffel 1 aktivieren (Empfohlen)"
"Enable Season 4 (Experimental)","Enable Season 4 (Experimental)","Abilita Stagione 4 (Sperimentale)","Включить Сезон 4 (Экспериментально)","Ativar Temporada 4 (Experimental)","启用第4赛季（实验性）","Włącz Sezon 4 (Eksperymentalne)","Activer la saison 4 (Expérimental)","Activar temporada 4 (Experimental)","Enable Season 4 (Experimental)","Staffel 4 aktivieren (Experimentell)"
"Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings"
"Install 1st season game client to","Install 1st season game client to","Installa il client di gioco della 1ª stagione in","Установить клиент игры 1-го сезона в","Instalar cliente de jogo da 1ª temporada em","安装第1赛季游戏客户端到","Zainstaluj klienta gry z 1. sezonu do","Installer le client de jeu de la 1ère saison dans","Instalar cliente de juego de la 1ª temporada en","Install 1st season game client to","Spielclient der 1. Staffel installieren nach"
"Install the additional languages package","Install the additional languages package","Installa il pacchetto di lingue aggiuntive","Установить пакет дополнительных языков","Instalar o pacote de idiomas adicionais","安装额外语言包","Zainstaluj pakiet dodatkowych języków","Installer le paquet de langues supplémentaires","Instalar el paquete de idiomas adicionales","Install the additional languages package","Paket mit zusätzlichen Sprachen installieren"
"Install ChildrenOfTheGrave game server","Install ChildrenOfTheGrave game server","Installa il server di gioco ChildrenOfTheGrave","Установить игровой сервер ChildrenOfTheGrave","Instalar servidor de jogo ChildrenOfTheGrave","安装 ChildrenOfTheGrave 游戏服务器","Zainstaluj serwer gry ChildrenOfTheGrave","Installer le serveur de jeu ChildrenOfTheGrave","Instalar servidor de juego ChildrenOfTheGrave","Install ChildrenOfTheGrave game server","ChildrenOfTheGrave-Spielserver installieren"
"Install 4th season game client to","Install 4th season game client to","Installa il client di gioco della 4ª stagione in","Установить клиент игры 4-го сезона в","Instalar cliente de jogo da 4ª temporada em","安装第4赛季游戏客户端到","Zainstaluj klienta gry z 4. sezonu do","Installer le client de jeu de la 4ème saison dans","Instalar cliente de juego de la 4ª temporada en","Install 4th season game client to","Spielclient der 4. Staffel installieren nach"
"Install Chronobreak game server","Install Chronobreak game server","Installa il server di gioco Chronobreak","Установить игровой сервер Chronobreak","Instalar servidor de jogo Chronobreak","安装 Chronobreak 游戏服务器","Zainstaluj serwer gry Chronobreak","Installer le serveur de jeu Chronobreak","Instalar servidor de juego Chronobreak","Install Chronobreak game server","Chronobreak-Spielserver installieren"
"Install TestGrounds game server","Install TestGrounds game server","Installa il server di gioco TestGrounds","Установить игровой сервер TestGrounds","Instalar servidor de jogo TestGrounds","安装 TestGrounds 游戏服务器","Zainstaluj serwer gry TestGrounds","Installer le serveur de jeu TestGrounds","Instalar servidor de juego TestGrounds","Install TestGrounds game server","TestGrounds-Spielserver installieren"
"Update TestGrounds game server","Update TestGrounds game server","Aggiorna il server di gioco TestGrounds","Обновить игровой сервер TestGrounds","Atualizar servidor de jogo TestGrounds","更新 TestGrounds 游戏服务器","Aktualizuj serwer gry TestGrounds","Mettre à jour le serveur de jeu TestGrounds","Actualizar servidor de juego TestGrounds","Update TestGrounds game server","TestGrounds-Spielserver aktualisieren"
"Install closed beta 1 game client to","Install closed beta 1 game client to","Installa il client di gioco della closed beta 1 in","Установить клиент игры закрытой беты 1 в","Instalar cliente de jogo da beta fechada 1 em","安装封闭测试版1游戏客户端到","Zainstaluj klienta gry zamkniętej bety 1 do","Installer le client de jeu bêta fermée 1 dans","Instalar cliente de juego beta cerrada 1 en","Install closed beta 1 game client to","Geschlossenen Beta-1-Spielclient installieren nach"
"Install closed beta 3 game client to","Install closed beta 3 game client to","Installa il client di gioco della closed beta 3 in","Установить клиент игры закрытой беты 3 в","Instalar cliente de jogo da beta fechada 3 em","安装封闭测试版3游戏客户端到","Zainstaluj klienta gry zamkniętej bety 3 do","Installer le client de jeu bêta fermée 3 dans","Instalar cliente de juego beta cerrada 3 en","Install closed beta 3 game client to","Geschlossenen Beta-3-Spielclient installieren nach"
"Install LoLSrv game server","Install LoLSrv game server","Installa il server di gioco LoLSrv","Установить игровой сервер LoLSrv","Instalar servidor de jogo LoLSrv","安装 LoLSrv 游戏服务器","Zainstaluj serwer gry LoLSrv","Installer le serveur de jeu LoLSrv","Instalar servidor de juego LoLSrv","Install LoLSrv game server","LoLSrv-Spielserver installieren"
"Use WINE to run game client with an","Use WINE to run game client with an","Usa WINE per eseguire il client di gioco con un","Использовать WINE для запуска игрового клиента с","Usar WINE para executar o cliente de jogo com um","使用 WINE 运行游戏客户端，带有","Użyj WINE do uruchomienia klienta gry z","Utiliser WINE pour exécuter le client de jeu avec un","Usar WINE para ejecutar el cliente del juego con un","Use WINE to run game client with an","WINE verwenden, um den Spielclient mit einem auszuführen"
"Share or apply launcher update code","Share or apply launcher update code","Condividi o applica il codice di aggiornamento del launcher","Поделиться или применить код обновления лаунчера","Compartilhar ou aplicar código de atualização do launcher","分享或应用启动器更新代码","Udostępnij lub zastosuj kod aktualizacji launchera","Partager ou appliquer le code de mise à jour du lanceur","Compartir o aplicar código de actualización del lanzador","Share or apply launcher update code","Launcher-Update-Code teilen oder anwenden"
"Show decoded","Show decoded","Mostra decodificato","Показать декодированное","Mostrar decodificado","显示解码后内容","Pokaż zdekodowane","Afficher décodé","Mostrar decodificado","Show decoded","Dekodiert anzeigen"
"Select the [server + client] combination to use","Select the [server + client] combination to use","Seleziona la combinazione [server + client] da utilizzare","Выберите комбинацию [сервер + клиент] для использования","Selecione a combinação [servidor + cliente] a usar","选择要使用的 [服务器 + 客户端] 组合","Wybierz kombinację [serwer + klient] do użycia","Sélectionnez la combinaison [serveur + client] à utiliser","Seleccione la combinación [servidor + cliente] a usar","Select the [server + client] combination to use","Wählen Sie die zu verwendende Kombination [Server + Client] aus"
"Broken Wings (Season 1) + v1.0.0.126 (Season 1)","Broken Wings (Season 1) + v1.0.0.126 (Season 1)","Broken Wings (Stagione 1) + v1.0.0.126 (Stagione 1)","Broken Wings (Сезон 1) + v1.0.0.126 (Сезон 1)","Broken Wings (Temporada 1) + v1.0.0.126 (Temporada 1)","Broken Wings（第1赛季）+ v1.0.0.126（第1赛季）","Broken Wings (Sezon 1) + v1.0.0.126 (Sezon 1)","Broken Wings (Saison 1) + v1.0.0.126 (Saison 1)","Broken Wings (Temporada 1) + v1.0.0.126 (Temporada 1)","Broken Wings (Season 1) + v1.0.0.126 (Season 1)","Broken Wings (Staffel 1) + v1.0.0.126 (Staffel 1)"
"Chronobreak (Season 1) + v4.20 (Season 4)","Chronobreak (Season 1) + v4.20 (Season 4)","Chronobreak (Stagione 1) + v4.20 (Stagione 4)","Chronobreak (Сезон 1) + v4.20 (Сезон 4)","Chronobreak (Temporada 1) + v4.20 (Temporada 4)","Chronobreak（第1赛季）+ v4.20（第4赛季）","Chronobreak (Sezon 1) + v4.20 (Sezon 4)","Chronobreak (Saison 1) + v4.20 (Saison 4)","Chronobreak (Temporada 1) + v4.20 (Temporada 4)","Chronobreak (Season 1) + v4.20 (Season 4)","Chronobreak (Staffel 1) + v4.20 (Staffel 4)"
"Reduce the amount of transmitted traffic. Causes crash and wired behaviours!","Reduce the amount of transmitted traffic. Causes crash and wired behaviours!","Riduci la quantità di traffico trasmesso. Provoca crash e comportamenti strani!","Уменьшить объем передаваемого трафика. Вызывает вылеты и странное поведение!","Reduzir a quantidade de tráfego transmitido. Causa travamentos e comportamentos estranhos!","减少传输流量。会导致崩溃和奇怪的行为！","Zmniejsz ilość przesyłanego ruchu. Powoduje awarie i dziwne zachowania!","Réduire la quantité de trafic transmis. Provoque des plantages et des comportements étranges !","Reducir la cantidad de tráfico transmitido. ¡Causa bloqueos y comportamientos extraños!","Reduce the amount of transmitted traffic. Causes crash and wired behaviours!","Menge des übertragenen Verkehrs reduzieren. Verursacht Abstürze und seltsames Verhalten!"
"Allow to choose any champion. Causes missing spells and passives!","Allow to choose any champion. Causes missing spells and passives!","Consenti di scegliere qualsiasi campione. Provoca incantesimi e passive mancanti!","Разрешить выбор любого чемпиона. Вызывает отсутствие заклинаний и пассивных навыков!","Permitir escolher qualquer campeão. Causa feitiços e passivas faltantes!","允许选择任何英雄。会导致缺失技能和被动效果！","Pozwala wybrać dowolnego mistrza. Powoduje brakujące zaklęcia i pasywki!","Permet de choisir n'importe quel champion. Provoque des sorts et des passifs manquants !","Permite elegir cualquier campeón. ¡Causa hechizos y pasivas faltantes!","Allow to choose any champion. Causes missing spells and passives!","Erlaubt die Auswahl eines beliebigen Champions. Verursacht fehlende Zauber und Passiven!"
"Warning","Warning","Avvertimento","Предупреждение","Aviso","警告","Ostrzeżenie","Avertissement","Advertencia","Warning","Warnung"
"Search","Search","Cerca","Поиск","Pesquisar","搜索","Szukaj","Rechercher","Buscar","Search","Suchen"
"Copy the launcher update code below and share it","Copy the launcher update code below and share it","Copia il codice di aggiornamento del launcher qui sotto e condividilo","Скопируйте код обновления лаунчера ниже и поделитесь им","Copie o código de atualização do launcher abaixo e compartilhe","复制下面的启动器更新代码并分享","Skopiuj poniższy kod aktualizacji launchera i udostępnij go","Copiez le code de mise à jour du lanceur ci-dessous et partagez-le","Copie el código de actualización del lanzador de abajo y compártalo","Copy the launcher update code below and share it","Kopieren Sie den Launcher-Update-Code unten und teilen Sie ihn"
"Find and paste the launcher update code below","Find and paste the launcher update code below","Trova e incolla il codice di aggiornamento del launcher qui sotto","Найдите и вставьте код обновления лаунчера ниже","Encontre e cole o código de atualização do launcher abaixo","找到并粘贴下面的启动器更新代码","Znajdź i wklej poniżej kod aktualizacji launchera","Trouvez et collez le code de mise à jour du lanceur ci-dessous","Encuentre y pegue el código de actualización del lanzador a continuación","Find and paste the launcher update code below","Finden und fügen Sie den Launcher-Update-Code unten ein"
"The launcher update code will appear here for copying and sharing","The launcher update code will appear here for copying and sharing","Il codice di aggiornamento del launcher apparirà qui per essere copiato e condiviso","Код обновления лаунчера появится здесь для копирования и обмена","O código de atualização do launcher aparecerá aqui para copiar e compartilhar","启动器更新代码将显示在此处以供复制和分享","Kod aktualizacji launchera pojawi się tutaj do skopiowania i udostępnienia","Le code de mise à jour du lanceur apparaîtra ici pour être copié et partagé","El código de actualización del lanzador aparecerá aquí para copiar y compartir","The launcher update code will appear here for copying and sharing","Der Launcher-Update-Code wird hier zum Kopieren und Teilen angezeigt"
"Paste the found launcher update code here","Paste the found launcher update code here","Incolla qui il codice di aggiornamento del launcher trovato","Вставьте найденный код обновления лаунчера сюда","Cole o código de atualização do launcher encontrado aqui","将找到的启动器更新代码粘贴到这里","Wklej tutaj znaleziony kod aktualizacji launchera","Collez le code de mise à jour du lanceur trouvé ici","Pegue el código de actualización del lanzador encontrado aquí","Paste the found launcher update code here","Fügen Sie den gefundenen Launcher-Update-Code hier ein"
"Apply","Apply","Applica","Применить","Aplicar","应用","Zastosuj","Appliquer","Aplicar","Apply","Anwenden"
